MESS_DATUM;FG_LBERGWh
1982012805;0
1982012806;0
1982012807;5.6
1982012808;30.6
1982012809;102.8
1982012810;130.6
1982012811;83.3
1982012812;69.4
1982012813;116.7
1982012814;69.4
1982012815;22.2
1982012816;2.8
1982012817;0
1982012818;0
1982012819;0
1982012820;0
1982012821;0
1982012822;0
1982012823;0
1982012900;0
1982012901;0
1982012902;0
1982012903;0
1982012904;0
1982012905;0
1982012906;0
1982012907;5.6
1982012908;27.8
1982012909;50
1982012910;50
1982012911;83.3
1982012912;91.7
1982012913;38.9
1982012914;63.9
1982012915;8.3
1982012916;2.8
1982012917;0
1982012918;0
1982012919;0
1982012920;0
1982012921;0
1982012922;0
1982012923;0
1982013000;0
1982013001;0
1982013002;0
1982013003;0
1982013004;0
1982013005;0
1982013006;0
1982013007;0
1982013008;5.6
1982013009;16.7
1982013010;19.4
1982013011;25
1982013012;33.3
1982013013;25
1982013014;19.4
1982013015;5.6
1982013016;0
1982013017;0
1982013018;0
1982013019;0
1982013020;0
1982013021;0
1982013022;0
1982013023;0
1982013100;0
1982013101;0
1982013102;0
1982013103;0
1982013104;0
1982013105;0
1982013106;0
1982013107;8.3
1982013108;77.8
1982013109;197.2
1982013110;241.7
1982013111;261.1
1982013112;175
1982013113;211.1
1982013114;191.7
1982013115;63.9
1982013116;11.1
1982013117;0
1982013118;0
1982013119;0
1982013120;0
1982013121;0
1982013122;0
1982013123;0
1982020100;0
1982020101;0
1982020102;0
1982020103;0
1982020104;0
1982020105;0
1982020106;0
1982020107;13.9
1982020108;102.8
1982020109;216.7
1982020110;305.6
1982020111;347.2
1982020112;347.2
1982020113;305.6
1982020114;213.9
1982020115;100
1982020116;13.9
1982020117;0
1982020118;0
1982020119;0
1982020120;0
1982020121;0
1982020122;0
1982020123;0
1982020200;0
1982020201;0
1982020202;0
1982020203;0
1982020204;0
1982020205;0
1982020206;0
1982020207;13.9
1982020208;105.6
1982020209;216.7
1982020210;294.4
1982020211;347.2
1982020212;344.4
1982020213;280.6
1982020214;183.3
1982020215;86.1
1982020216;19.4
1982020217;0
1982020218;0
1982020219;0
1982020220;0
1982020221;0
1982020222;0
1982020223;0
1982020300;0
1982020301;0
1982020302;0
1982020303;0
1982020304;0
1982020305;0
1982020306;0
1982020307;13.9
1982020308;102.8
1982020309;227.8
1982020310;316.7
1982020311;363.9
1982020312;355.6
1982020313;305.6
1982020314;216.7
1982020315;88.9
1982020316;13.9
1982020317;0
1982020318;0
1982020319;0
1982020320;0
1982020321;0
1982020322;0
1982020323;0
1982020400;0
1982020401;0
1982020402;0
1982020403;0
1982020404;0
1982020405;0
1982020406;0
1982020407;13.9
1982020408;105.6
1982020409;213.9
1982020410;297.2
1982020411;341.7
1982020412;333.3
1982020413;288.9
1982020414;200
1982020415;88.9
1982020416;13.9
1982020417;0
1982020418;0
1982020419;0
1982020420;0
1982020421;0
1982020422;0
1982020423;0
1982020500;0
1982020501;0
1982020502;0
1982020503;0
1982020504;0
1982020505;0
1982020506;0
1982020507;16.7
1982020508;111.1
1982020509;225
1982020510;311.1
1982020511;358.3
1982020512;350
1982020513;294.4
1982020514;208.3
1982020515;88.9
1982020516;8.3
1982020517;0
1982020518;0
1982020519;0
1982020520;0
1982020521;0
1982020522;0
1982020523;0
1982020600;0
1982020601;0
1982020602;0
1982020603;0
1982020604;0
1982020605;0
1982020606;0
1982020607;2.8
1982020608;16.7
1982020609;16.7
1982020610;33.3
1982020611;38.9
1982020612;19.4
1982020613;11.1
1982020614;13.9
1982020615;5.6
1982020616;0
1982020617;0
1982020618;0
1982020619;0
1982020620;0
1982020621;0
1982020622;0
1982020623;0
1982020700;0
1982020701;0
1982020702;0
1982020703;0
1982020704;0
1982020705;0
1982020706;0
1982020707;5.6
1982020708;50
1982020709;111.1
1982020710;75
1982020711;75
1982020712;102.8
1982020713;88.9
1982020714;36.1
1982020715;22.2
1982020716;2.8
1982020717;0
1982020718;0
1982020719;0
1982020720;0
1982020721;0
1982020722;0
1982020723;0
1982020800;0
1982020801;0
1982020802;0
1982020803;0
1982020804;0
1982020805;0
1982020806;0
1982020807;0
1982020808;8.3
1982020809;13.9
1982020810;22.2
1982020811;38.9
1982020812;63.9
1982020813;44.4
1982020814;33.3
1982020815;16.7
1982020816;5.6
1982020817;0
1982020818;0
1982020819;0
1982020820;0
1982020821;0
1982020822;0
1982020823;0
1982020900;0
1982020901;0
1982020902;0
1982020903;0
1982020904;0
1982020905;0
1982020906;0
1982020907;13.9
1982020908;63.9
1982020909;127.8
1982020910;102.8
1982020911;113.9
1982020912;91.7
1982020913;105.6
1982020914;100
1982020915;50
1982020916;11.1
1982020917;0
1982020918;0
1982020919;0
1982020920;0
1982020921;0
1982020922;0
1982020923;0
1982021000;0
1982021001;0
1982021002;0
1982021003;0
1982021004;0
1982021005;0
1982021006;0
1982021007;22.2
1982021008;127.8
1982021009;227.8
1982021010;316.7
1982021011;408.3
1982021012;377.8
1982021013;250
1982021014;277.8
1982021015;105.6
1982021016;11.1
1982021017;0
1982021018;0
1982021019;0
1982021020;0
1982021021;0
1982021022;0
1982021023;0
1982021100;0
1982021101;0
1982021102;0
1982021103;0
1982021104;0
1982021105;0
1982021106;0
1982021107;27.8
1982021108;116.7
1982021109;211.1
1982021110;316.7
1982021111;316.7
1982021112;361.1
1982021113;297.2
1982021114;200
1982021115;86.1
1982021116;19.4
1982021117;0
1982021118;0
1982021119;0
1982021120;0
1982021121;0
1982021122;0
1982021123;0
1982021200;0
1982021201;0
1982021202;0
1982021203;0
1982021204;0
1982021205;0
1982021206;0
1982021207;11.1
1982021208;61.1
1982021209;102.8
1982021210;244.4
1982021211;366.7
1982021212;327.8
1982021213;250
1982021214;133.3
1982021215;86.1
1982021216;19.4
1982021217;0
1982021218;0
1982021219;0
1982021220;0
1982021221;0
1982021222;0
1982021223;0
1982021300;0
1982021301;0
1982021302;0
1982021303;0
1982021304;0
1982021305;0
1982021306;0
1982021307;27.8
1982021308;130.6
1982021309;241.7
1982021310;327.8
1982021311;377.8
1982021312;377.8
1982021313;341.7
1982021314;269.4
1982021315;136.1
1982021316;30.6
1982021317;0
1982021318;0
1982021319;0
1982021320;0
1982021321;0
1982021322;0
1982021323;0
1982021400;0
1982021401;0
1982021402;0
1982021403;0
1982021404;0
1982021405;0
1982021406;0
1982021407;22.2
1982021408;108.3
1982021409;111.1
1982021410;175
1982021411;141.7
1982021412;52.8
1982021413;47.2
1982021414;13.9
1982021415;11.1
1982021416;2.8
1982021417;0
1982021418;0
1982021419;0
1982021420;0
1982021421;0
1982021422;0
1982021423;0
1982021500;0
1982021501;0
1982021502;0
1982021503;0
1982021504;0
1982021505;0
1982021506;0
1982021507;5.6
1982021508;13.9
1982021509;33.3
1982021510;36.1
1982021511;83.3
1982021512;77.8
1982021513;50
1982021514;38.9
1982021515;22.2
1982021516;8.3
1982021517;0
1982021518;0
1982021519;0
1982021520;0
1982021521;0
1982021522;0
1982021523;0
1982021600;0
1982021601;0
1982021602;0
1982021603;0
1982021604;0
1982021605;0
1982021606;0
1982021607;2.8
1982021608;8.3
1982021609;19.4
1982021610;30.6
1982021611;25
1982021612;38.9
1982021613;19.4
1982021614;36.1
1982021615;22.2
1982021616;11.1
1982021617;0
1982021618;0
1982021619;0
1982021620;0
1982021621;0
1982021622;0
1982021623;0
1982021700;0
1982021701;0
1982021702;0
1982021703;0
1982021704;0
1982021705;0
1982021706;0
1982021707;11.1
1982021708;44.4
1982021709;102.8
1982021710;155.6
1982021711;208.3
1982021712;252.8
1982021713;294.4
1982021714;219.4
1982021715;125
1982021716;25
1982021717;0
1982021718;0
1982021719;0
1982021720;0
1982021721;0
1982021722;0
1982021723;0
1982021800;0
1982021801;0
1982021802;0
1982021803;0
1982021804;0
1982021805;0
1982021806;0
1982021807;16.7
1982021808;91.7
1982021809;194.4
1982021810;225
1982021811;305.6
1982021812;325
1982021813;177.8
1982021814;91.7
1982021815;41.7
1982021816;13.9
1982021817;0
1982021818;0
1982021819;0
1982021820;0
1982021821;0
1982021822;0
1982021823;0
1982021900;0
1982021901;0
1982021902;0
1982021903;0
1982021904;0
1982021905;0
1982021906;0
1982021907;16.7
1982021908;116.7
1982021909;252.8
1982021910;233.3
1982021911;138.9
1982021912;341.7
1982021913;361.1
1982021914;266.7
1982021915;147.2
1982021916;36.1
1982021917;0
1982021918;0
1982021919;0
1982021920;0
1982021921;0
1982021922;0
1982021923;0
1982022000;0
1982022001;0
1982022002;0
1982022003;0
1982022004;0
1982022005;0
1982022006;0
1982022007;44.4
1982022008;180.6
1982022009;308.3
1982022010;408.3
1982022011;461.1
1982022012;461.1
1982022013;411.1
1982022014;311.1
1982022015;188.9
1982022016;58.3
1982022017;0
1982022018;0
1982022019;0
1982022020;0
1982022021;0
1982022022;0
1982022023;0
1982022100;0
1982022101;0
1982022102;0
1982022103;0
1982022104;0
1982022105;0
1982022106;0
1982022107;61.1
1982022108;188.9
1982022109;325
1982022110;425
1982022111;469.4
1982022112;461.1
1982022113;411.1
1982022114;313.9
1982022115;188.9
1982022116;63.9
1982022117;0
1982022118;0
1982022119;0
1982022120;0
1982022121;0
1982022122;0
1982022123;0
1982022200;0
1982022201;0
1982022202;0
1982022203;0
1982022204;0
1982022205;0
1982022206;0
1982022207;72.2
1982022208;211.1
1982022209;344.4
1982022210;438.9
1982022211;486.1
1982022212;327.8
1982022213;422.2
1982022214;313.9
1982022215;172.2
1982022216;58.3
1982022217;0
1982022218;0
1982022219;0
1982022220;0
1982022221;0
1982022222;0
1982022223;0
1982022300;0
1982022301;0
1982022302;0
1982022303;0
1982022304;0
1982022305;0
1982022306;0
1982022307;27.8
1982022308;136.1
1982022309;158.3
1982022310;280.6
1982022311;330.6
1982022312;344.4
1982022313;308.3
1982022314;261.1
1982022315;111.1
1982022316;30.6
1982022317;0
1982022318;0
1982022319;0
1982022320;0
1982022321;0
1982022322;0
1982022323;0
1982022400;0
1982022401;0
1982022402;0
1982022403;0
1982022404;0
1982022405;0
1982022406;0
1982022407;38.9
1982022408;127.8
1982022409;216.7
1982022410;313.9
1982022411;361.1
1982022412;347.2
1982022413;313.9
1982022414;233.3
1982022415;136.1
1982022416;44.4
1982022417;0
1982022418;0
1982022419;0
1982022420;0
1982022421;0
1982022422;0
1982022423;0
1982022500;0
1982022501;0
1982022502;0
1982022503;0
1982022504;0
1982022505;0
1982022506;0
1982022507;61.1
1982022508;169.4
1982022509;291.7
1982022510;388.9
1982022511;433.3
1982022512;427.8
1982022513;280.6
1982022514;230.6
1982022515;166.7
1982022516;66.7
1982022517;0
1982022518;0
1982022519;0
1982022520;0
1982022521;0
1982022522;0
1982022523;0
1982022600;0
1982022601;0
1982022602;0
1982022603;0
1982022604;0
1982022605;0
1982022606;0
1982022607;61.1
1982022608;172.2
1982022609;286.1
1982022610;386.1
1982022611;438.9
1982022612;450
1982022613;394.4
1982022614;308.3
1982022615;188.9
1982022616;63.9
1982022617;0
1982022618;0
1982022619;0
1982022620;0
1982022621;0
1982022622;0
1982022623;0
1982022700;0
1982022701;0
1982022702;0
1982022703;0
1982022704;0
1982022705;0
1982022706;5.6
1982022707;80.6
1982022708;202.8
1982022709;327.8
1982022710;411.1
1982022711;477.8
1982022712;369.4
1982022713;258.3
1982022714;177.8
1982022715;111.1
1982022716;22.2
1982022717;2.8
1982022718;0
1982022719;0
1982022720;0
1982022721;0
1982022722;0
1982022723;0
1982022800;0
1982022801;0
1982022802;0
1982022803;0
1982022804;0
1982022805;0
1982022806;2.8
1982022807;25
1982022808;50
1982022809;61.1
1982022810;77.8
1982022811;72.2
1982022812;38.9
1982022813;36.1
1982022814;27.8
1982022815;19.4
1982022816;5.6
1982022817;0
1982022818;0
1982022819;0
1982022820;0
1982022821;0
1982022822;0
1982022823;0
1982030100;0
1982030101;0
1982030102;0
1982030103;0
1982030104;0
1982030105;0
1982030106;2.8
1982030107;5.6
1982030108;16.7
1982030109;25
1982030110;47.2
1982030111;58.3
1982030112;113.9
1982030113;69.4
1982030114;30.6
1982030115;47.2
1982030116;69.4
1982030117;2.8
1982030118;0
1982030119;0
1982030120;0
1982030121;0
1982030122;0
1982030123;0
1982030200;0
1982030201;0
1982030202;0
1982030203;0
1982030204;0
1982030205;0
1982030206;0
1982030207;13.9
1982030208;33.3
1982030209;77.8
1982030210;105.6
1982030211;55.6
1982030212;66.7
1982030213;258.3
1982030214;94.4
1982030215;177.8
1982030216;100
1982030217;8.3
1982030218;0
1982030219;0
1982030220;0
1982030221;0
1982030222;0
1982030223;0
1982030300;0
1982030301;0
1982030302;0
1982030303;0
1982030304;0
1982030305;0
1982030306;0
1982030307;5.6
1982030308;16.7
1982030309;25
1982030310;36.1
1982030311;44.4
1982030312;44.4
1982030313;30.6
1982030314;16.7
1982030315;11.1
1982030316;5.6
1982030317;0
1982030318;0
1982030319;0
1982030320;0
1982030321;0
1982030322;0
1982030323;0
1982030400;0
1982030401;0
1982030402;0
1982030403;0
1982030404;0
1982030405;0
1982030406;2.8
1982030407;22.2
1982030408;41.7
1982030409;219.4
1982030410;219.4
1982030411;505.6
1982030412;305.6
1982030413;286.1
1982030414;27.8
1982030415;36.1
1982030416;8.3
1982030417;2.8
1982030418;0
1982030419;0
1982030420;0
1982030421;0
1982030422;0
1982030423;0
1982030500;0
1982030501;0
1982030502;0
1982030503;0
1982030504;0
1982030505;0
1982030506;2.8
1982030507;19.4
1982030508;44.4
1982030509;94.4
1982030510;366.7
1982030511;250
1982030512;141.7
1982030513;502.8
1982030514;236.1
1982030515;241.7
1982030516;38.9
1982030517;11.1
1982030518;0
1982030519;0
1982030520;0
1982030521;0
1982030522;0
1982030523;0
1982030600;0
1982030601;0
1982030602;0
1982030603;0
1982030604;0
1982030605;0
1982030606;11.1
1982030607;108.3
1982030608;288.9
1982030609;427.8
1982030610;525
1982030611;575
1982030612;575
1982030613;525
1982030614;427.8
1982030615;288.9
1982030616;130.6
1982030617;19.4
1982030618;0
1982030619;0
1982030620;0
1982030621;0
1982030622;0
1982030623;0
1982030700;0
1982030701;0
1982030702;0
1982030703;0
1982030704;0
1982030705;0
1982030706;16.7
1982030707;122.2
1982030708;263.9
1982030709;391.7
1982030710;480.6
1982030711;530.6
1982030712;525
1982030713;463.9
1982030714;327.8
1982030715;200
1982030716;86.1
1982030717;8.3
1982030718;0
1982030719;0
1982030720;0
1982030721;0
1982030722;0
1982030723;0
1982030800;0
1982030801;0
1982030802;0
1982030803;0
1982030804;0
1982030805;0
1982030806;16.7
1982030807;108.3
1982030808;238.9
1982030809;366.7
1982030810;466.7
1982030811;511.1
1982030812;500
1982030813;450
1982030814;350
1982030815;219.4
1982030816;91.7
1982030817;13.9
1982030818;0
1982030819;0
1982030820;0
1982030821;0
1982030822;0
1982030823;0
1982030900;0
1982030901;0
1982030902;0
1982030903;0
1982030904;0
1982030905;0
1982030906;8.3
1982030907;63.9
1982030908;194.4
1982030909;305.6
1982030910;347.2
1982030911;344.4
1982030912;188.9
1982030913;25
1982030914;55.6
1982030915;122.2
1982030916;72.2
1982030917;13.9
1982030918;0
1982030919;0
1982030920;0
1982030921;0
1982030922;0
1982030923;0
1982031000;0
1982031001;0
1982031002;0
1982031003;0
1982031004;0
1982031005;0
1982031006;36.1
1982031007;69.4
1982031008;155.6
1982031009;127.8
1982031010;75
1982031011;66.7
1982031012;61.1
1982031013;55.6
1982031014;25
1982031015;16.7
1982031016;13.9
1982031017;2.8
1982031018;0
1982031019;0
1982031020;0
1982031021;0
1982031022;0
1982031023;0
1982031100;0
1982031101;0
1982031102;0
1982031103;0
1982031104;0
1982031105;0
1982031106;2.8
1982031107;13.9
1982031108;36.1
1982031109;41.7
1982031110;102.8
1982031111;352.8
1982031112;533.3
1982031113;361.1
1982031114;386.1
1982031115;147.2
1982031116;69.4
1982031117;22.2
1982031118;0
1982031119;0
1982031120;0
1982031121;0
1982031122;0
1982031123;0
1982031200;0
1982031201;0
1982031202;0
1982031203;0
1982031204;0
1982031205;0
1982031206;13.9
1982031207;105.6
1982031208;166.7
1982031209;258.3
1982031210;125
1982031211;111.1
1982031212;127.8
1982031213;69.4
1982031214;30.6
1982031215;16.7
1982031216;11.1
1982031217;2.8
1982031218;0
1982031219;0
1982031220;0
1982031221;0
1982031222;0
1982031223;0
1982031300;0
1982031301;0
1982031302;0
1982031303;0
1982031304;0
1982031305;0
1982031306;16.7
1982031307;72.2
1982031308;180.6
1982031309;194.4
1982031310;197.2
1982031311;266.7
1982031312;241.7
1982031313;44.4
1982031314;161.1
1982031315;147.2
1982031316;66.7
1982031317;36.1
1982031318;0
1982031319;0
1982031320;0
1982031321;0
1982031322;0
1982031323;0
1982031400;0
1982031401;0
1982031402;0
1982031403;0
1982031404;0
1982031405;0
1982031406;16.7
1982031407;75
1982031408;211.1
1982031409;405.6
1982031410;377.8
1982031411;322.2
1982031412;288.9
1982031413;136.1
1982031414;86.1
1982031415;27.8
1982031416;27.8
1982031417;8.3
1982031418;0
1982031419;0
1982031420;0
1982031421;0
1982031422;0
1982031423;0
1982031500;0
1982031501;0
1982031502;0
1982031503;0
1982031504;0
1982031505;0
1982031506;25
1982031507;183.3
1982031508;313.9
1982031509;450
1982031510;466.7
1982031511;561.1
1982031512;583.3
1982031513;544.4
1982031514;444.4
1982031515;300
1982031516;138.9
1982031517;22.2
1982031518;0
1982031519;0
1982031520;0
1982031521;0
1982031522;0
1982031523;0
1982031600;0
1982031601;0
1982031602;0
1982031603;0
1982031604;0
1982031605;0
1982031606;8.3
1982031607;19.4
1982031608;22.2
1982031609;38.9
1982031610;277.8
1982031611;455.6
1982031612;438.9
1982031613;475
1982031614;319.4
1982031615;300
1982031616;138.9
1982031617;38.9
1982031618;0
1982031619;0
1982031620;0
1982031621;0
1982031622;0
1982031623;0
1982031700;0
1982031701;0
1982031702;0
1982031703;0
